ID,PRODUCTO,UNIDAD,PRESENTACION,PRECIO UNITARIO,PESO,
10001, Sal de hormiga chicatana,,1,10,,
10002,Aceite Virgen  de coco,kg,1,190,,
,Ciruela,kg,1,40,,
20026,Chabacano amarillo o rojo,kg,1,38,,
10003,Durazno,kg,1,40,,
,Pera chiquita (sierra),kg,1,40,,
10004,Maracuya (largo),kg,1,40,,
10005,Fresa,kg,1,120,,
10006,Mora azul,kg,1,450,100 grs,
10007,Zarzamora,kg,1,300,200 grs,
10008,Frambuesas,kg,1,400,150 grs,
10009,Higo fresco,kg,1,120,,
10010,Mamey,kg,1,45,,
10011,Mango ataulfo ,kg,1,40,,
10012,Mango petacon,kg,1,35,,
10013,Manzana amarilla,kg,1,40,,
10014,Guayaba,kg,1,40,,
10015,Sandia,kg,1,15,,
10016,Papaya,kg,1,25,,
10017,Limon,kg,1,35,,
10018,Pomelo,pz,1,12,,
10019,Platano tabasco,kg,1,30,,
10020,Platano morado o piña,kg,1,25,,
10021,Platano macho,kg,1,25,,
10022,Pepino,kg,1,30,,
10023,Piña miel,pz,1,45,,
20024,Jamaica criolla,kg,1,350,100 grs,
20025,Melon,pz,1,45,,
20027,Tamarindo (pulpa),kg,1,50,500 grs,
20028,Naranja,kg,1,17,,
,Col morada (unstock),pz,1,50,,
,Col verde,pz,1,35,,
20029,Tomate,kg,1,25,,
20030,Pimiento morron verde (unstock),kg,1,55,,
20031,Tomate cherry,kg,1,117,300 grs,
20032,Berenjena,kg,1,50,,
20033,Chicharo en vaina,kg,1,45,,
140421,Haba en vaina,kg,1,45,,
20034,Camote amarillo,kg,1,40,,
20035,Chayote criollo,kg,1,40,,
20036,Nopalitos organicos,kg,1,67,300 grs,
20037,Aguacate maduro,kg,1,60,,
20038,Aguacate verde,kg,1,60,,
20039,Cebolla grande rollo (unstock),kg,1,35,,
20040,Ejote criollo verde,kg,1,45,,
20041,Brocoli,pz,1,40,,
20042,Chile serrano,kg,1,60,250 grs,
20043,Miltomate (tomate verde),kg,1,35,,
20044,Hongo seta ,kg,1,160,250 grs,
20045,Coliflor,pz,1,35,,
30046,Esparragos,kg,1,300,200 grs,
30047,Papa morada,kg,1,35,,
30048,Papa chiquita rosa sin tierra,kg,1,40,,
30049,Calabacita criolla,kg,1,45,,
30050,Col de bruslas,kg,1,100,500 grs,
30051,Zanahoria,kg,1,35,,
30052,Diente de leon,rollo,1,30,,
30053,Berros rollo,rollo,1,25,,
30054,Mostaza rollo,rollo,1,25,,
30055,Verdolaga rollo,rollo,1,25,,
30056,Lechuga roja (unstock),pz,1,25,,
30057,Lechuga orejona ,pz,1,20,,
30058,Rabano rollo de 10 piezas,rollo,1,15,,
30059,Espinaca rollo,rollo,1,20,,
30060,Acelga rollo,rollo,1,25,,
30061,Apio,kg,1,80,250 grs,
30062,Kale o col rizada ,rollo,1,25,,
30063,Betabel pieza mediana,pz,1,15,,
30064,Perejil,rollo,1,20,,
30065,Cilantro,rollo,1,20,,
30066,Hierba Santa rollo,rollo,1,15,,
40067,Hierbabuena rollo,rollo,1,15,,
40068,Jengibre organico 250g,kg,1,120,250 grs,
40069,Jengibre organico 1kg,kg,1,100,,
40070,Curcuma 250g,kg,1,140,250 grs,
40071,Curcuma 1kg,kg,1,130,,
40072,Jengibre organico en polvo,kg,1,960,125 grs,
40073,Curcuma organica en polvo,kg,1,960,125 grs,
40074,Romero deshidratado  (rinde 1 litro),pz,1,30,,
40075,Romero fresco rollito,rollo,1,30,,
40076,Planta de romero,pz,1,35,,
40077,Manzanilla rollo,rollo,1,20,,
40078,Eneldo rollo (unstock),rollo,1,20,,
40079,Salvia rollo (no disponible),rollo,1,20,,
40080,Hierbabuena rollo,rollo,1,15,,
50081,Hierbasanta rollo,rollo,1,15,,
50082,Epazote rollito,rollo,1,15,,
50083,Brotes de lenteja,paq,1,35,100 grs,0
50084,Brotes de rabano ,paq,1,75,100 grs,0
50085,Brotes de girasol,paq,1,60,100 grs,0
50086,Brotes de chicharo,paq,1,70,100 grs,0
50087,Brote de Mostaza,paq,1,35,100 grs,0
50088,Brotes de alfalfa,paq,1,35,100 grs,0
200421,Brotes de nabo,paq,1,35,100 grs,0
50089,Tortillas de maiz criollo Azul,kg,1,25,,
60090,Tortillas de maiz criollo rojas,kg,1,25,,
60091,Tostadas de maiz criollo,paq,1,20,8 pzs,
60092,Tostada de maiz criollo bolsa de sabores 8pzs,paq,1,25,,
60093,Totopo para chilaquiles (unstock),bolsa,1,25,250 grs,0
